Date,Bi,Di,Ri,As,Tamb,W10,EPV
2011-01-16,559.4110000000001,154.41199999999998,4.938000000000001,33.381,23.25791666666667,1.597083333333333,61413.81
2011-01-17,550.9509999999999,157.708,4.932999999999999,30.484545454545454,23.344166666666666,1.9604166666666665,60658.409999999996
2011-01-18,533.844,167.477,4.9030000000000005,30.623636363636365,23.525833333333335,2.3,60394.42999999999
2011-01-19,571.605,148.292,5.018,30.771818181818183,23.715,2.670833333333334,62445.55
2011-01-20,552.508,159.788,4.990999999999999,30.919999999999995,24.04666666666667,2.357083333333333,61327.3
2011-01-21,571.212,150.83800000000002,5.0520000000000005,31.075454545454544,24.110416666666666,2.2725,62175.409999999996
2011-01-22,550.268,161.959,5.016,31.230909090909094,23.78916666666667,2.07875,60968.8
2011-01-23,554.375,161.101,5.049,31.39272727272727,23.89583333333333,2.1625,61129.32000000001
2011-01-24,556.321,160.873,5.0729999999999995,31.559090909090912,23.7825,2.160416666666667,61083.340000000004
2011-01-25,557.865,161.01399999999998,5.0969999999999995,31.729090909090903,24.00916666666667,2.4216666666666664,61792.969999999994
2011-01-26,553.4720000000001,164.259,5.103,31.900000000000002,24.19583333333333,2.5408333333333335,62047.090000000004
2011-01-27,579.7859999999998,150.98399999999998,5.194999999999999,29.40166666666667,23.519583333333326,2.171666666666667,63557.149999999994
2011-01-28,568.1430000000001,158.034,5.183999999999999,29.569166666666664,23.107499999999998,2.2691666666666666,62771.090000000004
2011-01-29,567.616,154.16400000000002,5.1770000000000005,29.738333333333333,23.105833333333337,2.6091666666666664,62440.92999999999
2011-01-30,511.5260000000001,177.26299999999998,4.985,29.911666666666665,23.667083333333338,2.554583333333333,59614.75
2011-01-31,583.773,152.366,5.2909999999999995,30.088333333333335,24.05791666666666,2.18125,63368.42
2011-02-01,566.595,156.06,5.229000000000001,30.2675,25.178749999999997,1.9579166666666667,61447.33000000001
2011-02-02,539.6518181818182,142.733,4.838181818181818,30.45166666666667,25.859583333333337,2.1541666666666663,62281.350000000006
2011-02-03,528.1154545454547,139.1918181818182,4.83909090909091,30.636666666666667,26.00208333333333,2.312916666666667,62395.54
2011-02-04,523.5481818181819,141.17909090909092,4.85,30.8225,25.42958333333333,2.3895833333333334,62440.219999999994
2011-02-05,528.47,140.1318181818182,4.885454545454545,31.013333333333332,25.67583333333333,2.337916666666667,62030.94
2011-02-06,530.8745454545453,140.29454545454544,4.914545454545454,31.208333333333332,25.285,2.1083333333333334,62601.61
2011-02-07,524.899090909091,144.19000000000003,4.919090909090909,31.402500000000003,24.774166666666673,3.0824999999999996,63810.29000000001
2011-02-08,537.4936363636364,137.66363636363639,4.976363636363636,31.60166666666667,24.491250000000004,2.8166666666666664,64026.73
2011-02-09,532.3690909090909,141.8081818181818,4.9845454545454535,31.801666666666666,24.700416666666666,2.6758333333333333,63922.44999999999
2011-02-10,518.1309090909091,150.5827272727273,4.970909090909091,32.00416666666667,25.388333333333332,1.7083333333333337,62367.17
2011-02-11,519.1318181818183,150.39363636363635,4.995454545454545,32.2075,25.65166666666667,1.58875,62147.81
2011-02-12,513.21,154.13272727272727,5.002727272727273,32.413333333333334,25.625833333333343,1.5729166666666667,61719.28999999999
2011-02-13,525.3745454545453,148.08454545454546,5.058181818181818,32.622499999999995,25.155416666666667,1.9445833333333338,63618.77
2011-02-14,513.9872727272727,156.0,5.052727272727274,32.83083333333333,24.631666666666664,2.0791666666666666,63608.509999999995
2011-02-15,523.0163636363636,152.27727272727273,5.100909090909091,33.045,23.732916666666664,2.2991666666666664,64586.28999999999
2011-02-16,311.22375,173.48454545454544,3.1509090909090913,33.25833333333333,23.549999999999994,1.7308333333333332,37974.66
2011-02-17,546.6672727272727,139.96818181818182,5.216363636363638,33.47166666666667,24.17458333333333,2.47125,65173.85999999999
2011-02-18,534.2427272727273,147.33363636363637,5.203636363636364,33.68833333333333,23.99833333333333,2.36,64682.88999999999
2011-02-19,545.0645454545455,143.24818181818182,5.260909090909092,33.90416666666666,24.566249999999997,3.0224999999999995,65445.479999999996
2011-02-20,520.2172727272728,156.76727272727274,5.212727272727273,34.12416666666667,24.907916666666665,3.466249999999999,65417.159999999996
2011-02-21,520.1918181818181,157.62636363636364,5.237272727272726,34.34416666666666,25.643333333333334,2.137083333333333,63430.07000000001
2011-02-22,518.9063636363637,146.56333333333333,4.829166666666667,34.56416666666667,25.434583333333336,1.8724999999999998,63833.909999999996
2011-02-23,508.32454545454544,150.6625,4.814166666666667,34.78416666666666,24.975833333333327,1.884166666666667,63335.67
2011-02-24,527.0154545454545,143.59,4.891666666666667,35.0075,24.814166666666665,1.8133333333333337,64185.74
2011-02-25,527.2163636363636,144.17916666666665,4.9175,35.23,24.78708333333333,1.675416666666667,64199.59
2011-02-26,534.0281818181818,141.42083333333332,4.958333333333334,35.45333333333334,25.751666666666665,2.3345833333333332,64666.729999999996
2011-02-27,527.6518181818182,144.31083333333333,4.963333333333334,35.6775,26.47666666666667,1.992916666666667,63108.75
2011-02-28,530.1318181818182,143.83,4.991666666666667,35.902499999999996,26.497916666666658,2.5329166666666665,64116.89000000001
2011-03-01,470.0072727272727,173.67416666666668,4.844166666666666,36.12416666666666,27.374999999999996,2.12125,61451.17999999999
2011-03-02,512.68,153.6525,4.991666666666667,36.350833333333334,27.768333333333334,2.352916666666666,62926.78000000001
2011-03-03,521.0754545454545,150.27583333333334,5.04,36.575833333333335,27.522083333333327,2.304583333333334,63128.41
2011-03-04,506.50909090909096,156.94833333333335,5.013333333333334,36.79916666666668,27.305416666666655,2.583333333333333,63304.69999999999
2011-03-05,524.0845454545454,149.905,5.091666666666668,37.025000000000006,27.989166666666666,2.4320833333333334,63439.270000000004
2011-03-06,537.4527272727272,143.43,5.15,37.248333333333335,28.97583333333333,2.5795833333333333,63444.29
2011-03-07,490.49083333333334,146.0825,5.175,37.47416666666666,29.454583333333332,2.482083333333333,63427.53
2011-03-08,500.3999999999999,140.69166666666666,5.225833333333333,37.69583333333334,28.777083333333337,3.2954166666666675,65282.049999999996
2011-03-09,492.4216666666667,146.3358333333333,5.225833333333333,37.917500000000004,26.82875,2.630833333333334,65425.66
2011-03-10,503.66083333333336,138.97583333333333,5.280833333333334,38.13916666666666,27.288333333333327,2.942083333333333,65572.89
2011-03-11,490.03833333333336,147.85416666666666,5.264166666666667,38.3625,27.96416666666667,2.435,63930.0
2011-03-12,497.03833333333336,143.7425,5.304166666666666,38.583333333333336,28.334166666666665,2.6095833333333336,64105.52
2011-03-13,498.83500000000004,143.01916666666665,5.3308333333333335,38.80166666666667,28.074166666666667,1.921666666666666,64165.49
2011-03-14,487.44166666666666,150.1775,5.317500000000001,39.019999999999996,28.04125,2.0933333333333333,64066.04
2011-03-15,502.8666666666666,141.45166666666665,5.3875,39.23999999999999,28.970000000000002,2.7458333333333336,64925.94
2011-03-16,507.0275000000001,139.26333333333335,5.426666666666667,39.454166666666666,29.583333333333332,2.606666666666667,64955.83
2011-03-17,485.7908333333333,151.81583333333333,5.379166666666666,39.67083333333333,28.317499999999995,2.14875,63477.59999999999
2011-03-18,479.38583333333327,155.09166666666667,5.3758333333333335,39.88416666666667,27.233333333333334,1.846666666666667,63706.600000000006
2011-03-19,484.79916666666674,152.37000000000003,5.414166666666667,40.09833333333333,27.153750000000006,2.297916666666666,64684.19999999999
2011-03-20,496.48499999999996,145.19416666666666,5.471666666666668,40.30916666666666,26.980833333333333,2.245416666666667,65594.68
2011-03-21,496.2391666666667,145.45333333333335,5.492500000000001,40.51916666666666,26.658333333333335,2.059166666666667,65364.72
2011-03-22,491.45166666666665,148.05166666666668,5.495,40.725833333333334,26.141666666666666,2.298333333333333,65474.689999999995
2011-03-23,490.21750000000003,148.14583333333331,5.506666666666668,40.931666666666665,26.855,2.61875,65479.47000000001
2011-03-24,456.1175,166.17416666666668,5.391666666666667,41.13583333333333,27.57166666666667,2.3970833333333332,63675.96
2011-03-25,513.1583333333333,134.815,5.629999999999999,41.336666666666666,27.81791666666666,2.2845833333333334,65701.18000000001
2011-03-26,482.8691666666667,150.47833333333332,5.528333333333333,41.53666666666667,28.710416666666664,1.9025,63200.66
2011-03-27,477.8116666666667,154.12000000000003,5.528333333333332,41.73583333333333,29.332916666666677,2.2079166666666663,62995.659999999996
2011-03-28,499.9941666666667,141.72916666666666,5.637499999999999,41.93,28.900000000000006,2.38125,64819.08999999999
2011-03-29,513.13,133.07333333333332,5.699166666666667,42.12416666666666,28.852916666666662,2.4829166666666667,65215.45
2011-03-30,501.80749999999995,139.88916666666668,5.678333333333334,42.31333333333333,29.03083333333333,2.972916666666667,65086.87
2011-03-31,502.7558333333333,138.91333333333333,5.700000000000002,42.50416666666666,28.937083333333334,2.742083333333333,65060.399999999994
2011-04-01,485.4541666666667,143.41916666666665,5.6066666666666665,42.69166666666666,27.990833333333338,2.2391666666666667,64393.21000000001
2011-04-02,467.24416666666656,154.45166666666668,5.5633333333333335,42.873333333333335,27.52416666666667,1.8625000000000007,63494.08
2011-04-03,462.8708333333334,156.45000000000002,5.559166666666666,43.055,27.822916666666668,2.44125,63641.81
2011-04-04,478.53999999999996,146.25500000000002,5.628333333333333,43.23333333333334,28.284166666666664,2.0470833333333336,63202.979999999996
2011-04-05,477.55916666666667,146.5375,5.6433333333333335,43.410833333333336,28.70541666666668,2.2779166666666666,63181.81999999999
2011-04-06,479.71583333333336,144.63083333333333,5.665833333333334,43.583333333333336,28.62625,2.4795833333333333,63010.299999999996
2011-04-07,397.3691666666667,190.67166666666665,5.3566666666666665,43.751666666666665,28.368749999999995,2.640416666666667,60468.74
2011-04-08,424.6375000000001,176.91416666666666,5.496666666666666,43.91916666666666,28.59750000000001,1.9129166666666668,60844.72
2011-04-09,452.15749999999997,160.13833333333332,5.6099999999999985,44.083333333333336,28.259166666666662,1.9029166666666677,62399.869999999995
2011-04-10,447.74166666666673,162.52583333333334,5.610833333333333,44.24499999999998,28.47666666666667,2.305,62320.340000000004
2011-04-11,448.2966666666667,161.58833333333337,5.621666666666666,44.403333333333336,28.84416666666667,1.9050000000000002,62062.90000000001
2011-04-12,446.0975000000001,162.7325,5.634999999999999,44.557500000000005,29.634999999999994,2.3241666666666663,61781.11
